company_name,founded,industry,sub_industry,num_employees_hired,website,main_phone
Select Store Gadget,2099,Retail,Electronics,2,kttp://www.selectstoregadget.com,Work: (349) 709-8190
Delicious Eats Bistro,2095,Food and Beverage,Restaurant,1,kttps://www.deliciouseatsbistro.com,Work: (996) 844-4161
Well Care Care,2097,Healthcare,Hospital,2,kttps://www.wellcarecare.com,Work: (455) 412-4861
Leisure Journey World,2046,Hospitality,Theme Park,1,kttps://www.leisurejourneyworld.com,Work: (367) 511-1323
ExploreEscape Adventures,2097,Hospitality,Other,5,kttps://www.exploreescapeadventures.com,Work: (502) 817-9349
Route Ways Transfer,2099,Transportation,Relocation,2,kttp://www.routewaystransfer.com,Work: (478) 567-2540
Cine Productions,2099,Entertainment,Film / TV,1,kttps://www.cineproductions.com,Work: (285) 571-5426
Capital Edge Finance,2096,Finance,Bank,2,kttps://www.capitaledgefinance.com,Work: (829) 461-8855
Go Ways Rentals,2090,Automotive,Rental,3,kttps://www.gowaysrentals.com,Work: (726) 191-1341
StayGetaway Explore,2096,Hospitality,Other, ,kttps://www.staygetawayexplore.com,Work: (993) 954-0718
Fund Hub Capital,2080,Finance,Bank,3,kttp://www.fundhubcapital.com,Work: (197) 282-8185
Trend Mall Fresh,2094,Retail,Grocery,1,kttp://www.trendmallfresh.com,Work: (468) 852-3029
YumCuisine Wheels,2096,Food and Beverage,Food Truck,2,kttp://www.yumcuisinewheels.com,Work: (811) 690-4376
Play World News,2087,Entertainment,Journalism,1,kttp://www.playworldnews.com,Work: (528) 649-3725
KnowledgeCampus Middle,2098,Education,Public 7-9,4,kttp://www.knowledgecampusmiddle.com,Work: (974) 553-8435
Auto Path Motors,2096,Automotive,Dealership,3,kttps://www.autopathmotors.com,Work: (274) 480-1796
EducateInstitution Learn,2085,Education,Technical / Trade School,2,kttp://www.educateinstitutionlearn.com,Work: (539) 978-1046
Route Ways Commute,2085,Transportation,Ride Sharing / Taxi,1,kttps://www.routewayscommute.com,Work: (822) 730-9736
Style Flicks Play,2066,Entertainment,Sports, ,kttps://www.styleflicksplay.com,Work: (964) 469-3171
Dinero Finance,2090,Finance,Bank,1,kttps://www.dinerofinance.com,Work: (204) 777-0794
Tour Escape Stay,2099,Hospitality,Hotels,1,kttps://www.tourescapestay.com,Work: (636) 685-1662
Fund Invest,2098,Finance,Investment Firm,3,kttps://www.fundinvest.com,Work: (867) 372-4238
FeastCuisine Taste,2040,Food and Beverage,Restaurant,1,kttps://www.feastcuisinetaste.com,Work: (488) 308-3651
Money Finance,2083,Finance,Loans / Mortgage Lender, ,kttps://www.moneyfinance.com,Work: (389) 615-5337
Learn Center School,2098,Education,Public K-6,2,kttps://www.learncenterschool.com,Work: (592) 469-0403
City Ways Repair,2090,Automotive,Mechanic, ,kttps://www.citywaysrepair.com,Work: (799) 495-0392
LogicSolutions Wireless,2098,Technology,Mobile Providers,2,kttp://www.logicsolutionswireless.com,Work: (257) 350-6948
A Taste of Delight Go,2089,Food and Beverage,Fast Food, ,kttp://www.atasteofdelightgo.com,Work: (677) 358-1685
Fund Hub Digital,2090,Finance,Crypto,2,kttp://www.fundhubdigital.com,Work: (979) 837-6572
Flavor Bite Events,2099,Food and Beverage,Catering,1,kttp://www.flavorbiteevents.com,Work: (492) 959-7007
EducateCampus Learn,2076,Education,University,3,kttp://www.educatecampuslearn.com,Work: (357) 917-4179
Style Chic Novels,2098,Entertainment,Books,1,kttp://www.stylechicnovels.com,Work: (843) 272-8965
